892 2517
809 706 671
785 813 585
808 286 300
296 6 909
812 368 813
310 7 729
68 242 457
220 120 272
547 570 176
839 93 310
848 745 16
515 630 424
183 216 721
512 131 407
592 172 203
42 791 692
487 412 48
359 491 653
763 376 628
853 740 473
676 818 492
400 202 980
711 707 302
642 172 394
840 137 698
22 773 862
780 565 559
310 43 62
138 764 938
600 888 877
471 430 874
250 215 770
268 871 852
693 382 580
147 571 911
387 133 863
394 596 190
706 806 35
868 683 30
695 411 205
482 227 526
123 290 819
689 51 690
444 653 675
749 469 979
627 684 132
35 551 35
409 193 812
69 659 643
199 823 890
708 165 374
713 75 526
280 862 17
838 64 148
95 650 619
376 604 190
286 173 919
350 313 424
237 834 710
214 263 267
529 296 167
237 475 303
353 75 160
737 60 45
523 791 306
792 3 519
177 84 182
293 638 718
695 738 809
87 356 594
577 188 978
312 530 586
246 768 233
423 783 678
385 8 982
886 458 230
861 508 684
373 303 210
162 497 357
350 612 726
480 625 930
320 242 541
237 370 727
80 428 801
69 131 275
282 247 195
840 639 278
507 598 497
89 152 542
430 262 2
823 874 508
415 193 712
300 816 358
36 290 400
395 481 548
455 481 61
722 753 293
173 892 5
230 629 706
657 604 529
594 543 846
473 437 998
500 578 463
402 881 152
387 815 901
487 637 535
678 829 557
785 198 318
32 546 176
29 486 248
816 398 850
629 774 757
832 228 551
754 461 337
207 715 311
799 434 464
862 405 135
657 24 22
406 285 897
330 281 955
166 274 715
640 6 23
820 148 158
394 239 526
716 879 22
705 368 769
230 537 102
179 466 148
357 450 945
215 42 954
334 135 186
608 515 624
272 10 874
754 736 181
273 622 89
855 573 815
472 456 833
121 217 653
685 219 538
530 295 885
192 308 100
510 550 829
131 285 791
123 56 428
475 9 876
373 94 243
660 221 602
658 742 71
82 828 358
252 580 57
159 301 226
366 514 222
68 813 546
638 245 846
734 703 449
441 312 986
68 614 951
469 503 223
155 241 176
231 735 443
729 457 319
553 666 545
152 536 343
439 299 505
108 315 324
269 361 50
100 170 529
814 241 113
836 663 765
623 280 466
518 400 204
817 640 233
881 844 718
629 693 119
185 624 659
744 871 948
452 499 507
451 60 55
836 733 670
155 141 687
300 236 175
701 595 85
404 221 189
331 503 7
203 363 894
878 363 974
111 210 413
303 557 324
744 380 637
261 268 382
426 608 455
477 808 72
358 286 742
467 180 414
597 170 344
470 723 314
605 461 52
116 317 622
275 206 597
504 491 153
513 880 198
773 287 959
679 629 979
518 616 528
532 460 882
641 699 350
419 619 925
826 824 879
485 115 105
623 88 453
558 573 494
689 716 145
419 452 399
777 701 932
149 330 525
391 63 245
693 849 279
17 501 605
338 603 696
837 718 521
700 325 734
689 786 935
411 41 995
516 92 257
529 164 490
865 405 790
373 583 285
759 168 285
574 240 866
813 580 268
44 304 79
42 84 200
136 32 417
454 480 796
679 818 947
490 534 618
546 148 136
580 30 609
648 399 723
521 878 824
285 872 829
635 90 626
410 68 598
7 242 651
199 562 868
270 773 32
262 225 988
352 462 600
745 222 600
771 434 169
260 408 937
514 577 126
208 459 519
557 148 251
769 683 681
27 60 956
95 161 435
15 72 795
448 320 283
642 270 518
487 209 295
152 531 538
269 725 338
606 223 197
738 692 540
794 860 741
321 746 169
668 595 84
465 179 703
626 586 839
28 770 925
250 722 244
195 729 982
694 203 808
188 369 778
340 596 587
325 314 773
